Code,Description,Category,Active,Unit,Retail - Exclusive,Retail - Inclusive,Wholesale - Exclusive,Wholesale - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
DG-HFM305-11,Dromex Nitrile Foam Coating Cut C HFM305 Cut Level C,,True,1,71.5,82.225,68.75,79.06,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM606-7,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,True,1,111.6,128.34,106.95,122.99,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM606-8,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,True,1,111.6,128.34,106.95,122.99,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM606-9,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,True,1,111.6,128.34,106.95,122.99,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM606-10,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,True,1,111.6,128.34,106.95,122.99,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-HFM606-11,"Dromex Superior Cut Glove, Anti Cut Level 6 - EN388 Cut Level F",,True,1,111.6,128.34,106.95,122.99,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-OIL-TECH-10,"Dromex Oil-Tech Dura Grip Glove, Open Cuff",,True,1,70.0,80.5,67.0,77.05,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-OIL-TECH-11,"Dromex Oil-Tech Dura Grip Glove, Open Cuff",,True,1,68.4,78.66,65.55,75.38,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-OILTECH-KW-8,Dromex Oil -Tech Dura Glove,,True,1,62.92,72.358,60.5,69.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-OILTECH-KW-9,Dromex Oil -Tech Dura Glove,,True,1,62.92,72.358,60.5,69.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
DG-OILTECH-KW-10,Dromex Oil -Tech Dura Glove,,True,1,62.92,72.358,60.5,69.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEM-8,"Dromex Ultichem Nitrile Tripple Dipped, Non-Slip, Waterproof Chemical Glove",,True,1,83.0,95.45,80.0,92.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEM-9,"Dromex Ultichem Nitrile Tripple Dipped, Non-Slip, Waterproof Chemical Glove",,True,1,79.512,91.4388,76.199,87.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEM-10,"Dromex Ultichem Nitrile Tripple Dipped, Non-Slip, Waterproof Chemical Glove",,True,1,79.512,91.4388,76.199,87.63,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEMPLUS-8,"Dromex Ultichem - Plus, Tripple Dipped Cut 3 Waterproof Chemical Glove",,True,1,171.6,197.34,165.0,189.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEMPLUS-9,"Dromex Ultichem - Plus, Tripple Dipped Cut 3 Waterproof Chemical Glove",,True,1,171.6,197.34,165.0,189.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
ULTICHEMPLUS-10,"Dromex Ultichem - Plus, Tripple Dipped Cut 3 Waterproof Chemical Glove",,True,1,171.6,197.34,165.0,189.75,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
1956-6,Dromex Nitirle EN Approved Categpry Iii - Industrial Chemical Gloves EN388 & 372,,True,1,15.0,17.25,16.15625,18.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
1956-7,Dromex Nitirle EN Approved Categpry Iii - Industrial Chemical Gloves EN388 & 372,,True,1,15.0,17.25,16.15625,18.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
1956-8,Dromex Nitirle EN Approved Categpry Iii - Industrial Chemical Gloves EN388 & 372,,True,1,15.0,17.25,16.15625,18.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
1956-9,Dromex Nitirle EN Approved Categpry Iii - Industrial Chemical Gloves EN388 & 372,,True,1,15.0,17.25,16.15625,18.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
1956-10,Dromex Nitirle EN Approved Categpry Iii - Industrial Chemical Gloves EN388 & 372,,True,1,15.0,17.25,16.15625,18.58,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
VIPER-9,Dromex Category Iii Chemical Glove,,True,1,42.9,49.335,41.25,47.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
VIPER-10,Dromex Category Iii Chemical Glove,,True,1,47.19,54.2685,41.25,47.44,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
VIPERPLUS-9,"Dromex Category Iii Shoulder Length Vipe Plus, Chemical Glove",,True,1,104.0,119.6,100.0,115.0,,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,,10,,
