product_slug,sku,name,Categories,categories_slug,category_slug,Brand,brand_slug_origenal,Image URL,Attributes_origenal,attributes,Price,Regular Price,Sale Price,type,images,variant,description,short_description,stock,brand_slug
isolation-gown,APP-ISO-GN,Isolation Gown,"Disposables, Disposables, Gowns, Gowns, Gowns, Medical, Medical, Medical, PPE, PPE, Workwear","disposables, disposables-2, medical-gowns, disposables-gowns, ppe-gowns, medical, medical-ppe-2, medical-medical, ppe-medical-2, ppe, workwear-medical",disposables,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/Isolation-Gown-Disposable.jpg,['Colour:'],"{""Colour"": """"}",23.24,23.24,,0,/02/Isolation-Gown-Disposable.jpg,0,,,0,ppe
lab-coat-spunbond,APP-LAB-CT,Lab Coat - Spunbond,"Disposables, Lab Coats, Lab Coats, Medical, Medical, Medical, PPE, PPE, Workwear","disposables, medical-lab-coats, ppe-lab-coats, medical-medical, medical, medical-ppe-2, ppe, ppe-medical-2, workwear-medical",disposables,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/Lab-Coat-Spunbond.webp,['Colour:'],"{""Colour"": """"}",41.5,41.5,,0,/02/Lab-Coat-Spunbond.webp,0,,,0,ppe
sterile-theatre-surgical-gowns-level-4-with-2-paper-towels,APP-THEAT-ST,Sterile Theatre/ Surgical Gowns Level 4 with 2 paper towels,"Disposables, Gowns, Gowns, Gowns, Medical, Medical, PPE, PPE, Workwear","disposables-2, ppe-gowns, medical-gowns, disposables-gowns, medical, medical-medical, ppe, ppe-medical-2, workwear-medical",disposables-2,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sterile-Theatre-Surgical-Gowns.png,['Colour:'],"{""Colour"": """"}",64.74,64.74,,0,/02/Sterile-Theatre-Surgical-Gowns.png,0,,,0,ppe
reinforced-surgical-gowns-non-sterile-50gsm,APP-SURG-NS-50,Reinforced Surgical Gowns Non-sterile 50gsm,"Disposables, Gowns, Gowns, Gowns, Medical, Medical, PPE, PPE, Workwear","disposables-2, medical-gowns, disposables-gowns, ppe-gowns, medical, medical-medical, ppe, ppe-medical-2, workwear-medical",disposables-2,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/Reinforced-Surgical-Gowns.png,['Colour:'],"{""Colour"": """"}",38.18,38.18,,0,/02/Reinforced-Surgical-Gowns.png,0,,,0,ppe
patient-gown,APP-PAT-GN,Patient Gown,"Disposables, Disposables, Gowns, Gowns, Gowns, Medical, Medical, Medical, PPE, PPE, Workwear","disposables, disposables-2, medical-gowns, disposables-gowns, ppe-gowns, medical, medical-ppe-2, medical-medical, ppe-medical-2, ppe, workwear-medical",disposables,PPE,ppe,https://uvhholdings.co.za/wp-content/uploads/2026/02/Patient-Gowns.jpg,['Colour:'],"{""Colour"": """"}",29.88,29.88,,0,/02/Patient-Gowns.jpg,0,,,0,ppe
type-56-coveralls-blue-stripe-65-gsm,COV-56-BSTR,Type 5/6 Coveralls Blue Stripe 65 gsm,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Type-5-6-Coveralls-Blue-Stripe.png,['Colour:'],"{""Colour"": """"}",35.9,35.9,,0,/02/Type-5-6-Coveralls-Blue-Stripe.png,0,,,0,hygiene-protection
spray-paint-coverall-antistatic,COV-SP-AS,Spray Paint Coverall Antistatic,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Spray-Paint-Coverall-Antistatic.png,['Colour:'],"{""Colour"": """"}",,,,0,/02/Spray-Paint-Coverall-Antistatic.png,0,,,0,hygiene-protection
spray-paint-coverall-oxford,COV-SP-OXF,Spray Paint Coverall (Oxford),"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Spray-Paint-Coverall-Oxford.png,['Colour:'],"{""Colour"": """"}",,,,0,/02/Spray-Paint-Coverall-Oxford.png,0,,,0,hygiene-protection
polypropylene-coverall,COV-PP-DISP,Polypropylene Coverall,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/PolypropyleneCoverall.png,['Colour:'],"{""Colour"": """"}",,,,0,/02/PolypropyleneCoverall.png,0,,,0,hygiene-protection
reusable-coverall,COV-REUSE-GEN,Reusable Coverall,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Reusable-Coverall.jpg,['Colour:'],"{""Colour"": """"}",166,166,,0,/02/Reusable-Coverall.jpg,0,,,0,hygiene-protection
disposable-coverall-non-woven,COV-NW-DISP,Disposable Coverall Non Woven,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Disposable-Coverall-Non-Woven.webp,['Colour:'],"{""Colour"": """"}",41.5,41.5,,0,/02/Disposable-Coverall-Non-Woven.webp,0,,,0,hygiene-protection
disposable-spunbond-coverall-type-5b6b-65gsm,COV-5B6B-65,Disposable Spunbond Coverall Type 5B/6B - 65gsm,"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Disposable-Spunbond-Coverall-Type-5B-6B-65gsm.png,['Colour:'],"{""Colour"": """"}",,,,0,/02/Disposable-Spunbond-Coverall-Type-5B-6B-65gsm.png,0,,,0,hygiene-protection
disposable-spunbond-coverall-50gsm,COV-SPUN-50,Disposable Spunbond Coverall (50gsm),"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Disposable-Spunbond-Coverall-50gsm.png,['Colour:'],"{""Colour"": """"}",32.37,32.37,,0,/02/Disposable-Spunbond-Coverall-50gsm.png,0,,,0,hygiene-protection
disposable-spunbond-coverall-40gsm,COV-SPUN-40,Disposable Spunbond Coverall (40gsm),"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Disposable-Spunbond-Coverall-40gsm.png,['Colour:'],"{""Colour"": """"}",27.39,27.39,,0,/02/Disposable-Spunbond-Coverall-40gsm.png,0,,,0,hygiene-protection
disposable-spunbond-coverall-30gsm,COV-SPUN-30,Disposable Spunbond Coverall (30gsm),"Disposables, Medical, PPE, PPE, Workwear","disposables, medical-ppe-2, ppe, ppe-ppe, workwear-ppe-2",disposables,Hygiene Protection,hygiene-protection,https://uvhholdings.co.za/wp-content/uploads/2026/02/Disposable-Spunbond-Coverall-30gsm.png,['Colour:'],"{""Colour"": """"}",25.73,25.73,,0,/02/Disposable-Spunbond-Coverall-30gsm.png,0,,,0,hygiene-protection
sharps-bin-medical-waste-containers-20l,OM-SB-20L,Sharps Bin Medical Waste Containers 20L,"Medical, Medical, Safety &amp; Equipment, Waste Bins","medical, medical-medical, safety-equipment-medical, waste-bins",medical,Medical Disposal,medical-disposal,https://uvhholdings.co.za/wp-content/uploads/2026/02/Sharps-Bin-Medical-Waste-Containers-20L.png,['Size: 20L\nColour: Yellow'],"{""Size"": ""20L"", ""Colour"": ""Yellow""}",138.34,138.34,,0,/02/Sharps-Bin-Medical-Waste-Containers-20L.png,0,,,0,medical-disposal
