sku,retail_price,wholesale_price
HHCARRIER-WCL,86,83
DH-MARTCARE-GY,78.65,75.625
DH-FFM,1215.5,1168.75
DH-FFMBAG,71.5,68.75
DH-302-S,157.3,151.25
DH-302-M,157.3,151.25
DH-302-L,157.3,151.25
DR-A1-EN,143,137.5
DR-A2-EN,171.6,165
DR-A1P2-EN,228.8,220
DR-A2P3-EN,286,275
DR-P2-EN,62.92,60.5
DR-P2PF-EN,128.7,123.75
DR-P3PF-EN,85.8,82.5
DR-P3-OV-EN,114.4,110
DR-ABEK1-EN,271.7,261.25
DR-ABEK1P3-EN,357.5,343.75
DH-101,68.64,66
DHCS-A1,100.1,96.25
DHCS-P2,51.48,49.5
DHCS-P2PF,102.96,99
DH-102,77.22,74.25
DH-202,102.96,99
DHRB-BLK,57.2,55
DHCT-A1,74.36,71.5
DHCT-A2,94.38,90.75
DHCT-B1,100.1,96.25
DHCT-ABEK1,228.8,220
DHCT-P2,45.76,44
DHCT-P3,85.8,82.5
DHCT-P2PF,114.4,110
DHCT-P3PF,107.25,103.125
FFP-DRO-01,114.8,102.5
FFP-DRO-02,114.8,102.5
FFP-DRO-03-W,114.8,102.5
FFP-DRO-04,114.8,102.5
FFP-DRO-05,114.8,102.5
FFP-DRO-06-W,114.8,102.5
N95-5150,2940,1925
QSA-2010,1230,11825
QSA-2020,1401,13475
QSA-2021,1304,1254
QSA-2020RP5,1716,1650
DF-9160-4-BLK,31,30
DF-9160-5-BLK,31,30
DF-9160-6-BLK,31,30
DF-9160-7-BLK,31,30
DF-9160-8-BLK,31,30
DF-9160-9-BLK,31,30
DF-9160-10-BLK,31,30
DF-9160-11-BLK,31,30
DF-9160-NB-4-NVB,31,30
DF-9160-NB-5-NVB,31,30
DF-9160-NB-6-NVB,31,30
DF-9160-NB-7-NVB,31,30
DF-9160-NB-8-NVB,31,30
DF-9160-NB-9-NVB,31,30
DF-9160-NB-10-NVB,31,30
DF-9160-NB-11-NVB,31,30
DF-9160-4-CH,31,30
DF-9160-5-CH,31,30
DF-9160-6-CH,31,30
DF-9160-7-CH,31,30
DF-9160-8-CH,31,30
DF-9160-9-CH,31,30
DF-9160-10-CH,31,30
DF-9160-11-CH,31,30
DF-9160-KH-4-K,31,30
DF-9160-KH-5-K,31,30
DF-9160-KH-6-K,31,30
DF-9160-KH-7-K,31,30
DF-9160-KH-8-K,31,30
DF-9160-KH-9-K,31,30
DF-9160-KH-10-K,31,30
DF-9160-KH-11-K,31,30
DF-9161-4-BLK,46,45
DF-9161-5-BLK,46,45
DF-9161-6-BLK,46,45
DF-9161-7-BLK,46,45
DF-9161-8-BLK,46,45
DF-9161-9-BLK,46,45
DF-9161-10-BLK,46,45
DF-9161-11-BLK,46,45
DF-9161-NB-4-NVB,46,45
DF-9161-NB-5-NVB,46,45
DF-9161-NB-6-NVB,46,45
DF-9161-NB-7-NVB,46,45
DF-9161-NB-8-NVB,46,45
DF-9161-NB-9-NVB,46,45
DF-9161-NB-10-NVB,46,45
DF-9161-NB-11-NVB,46,45
DF-9162-8-CH,157,151
DF-9162-9-CH,157,151
DF-9162-10-CH,157,151
DF-9162-11-CH,157,151
SS1011/SHOE-3-BLK,240.24,231
SS1011/SHOE-4-BLK,240.24,231
SS1011/SHOE-5-BLK,240.24,231
SS1011/SHOE-6-BLK,240.24,231
SS1011/SHOE-7-BLK,240.24,231
SS1011/SHOE-8-BLK,240.24,231
SS1011/SHOE-9-BLK,240.24,231
SS1011/SHOE-10-BLK,240.24,231
SS1011/SHOE-11-BLK,240.24,231
SS1011/SHOE-12-BLK,240.24,231
SS1011/SHOE-13-BLK,240.24,231
SS1020/BOOT-3-BLK,243.1,233.75
SS1020/BOOT-4-BLK,243.1,233.75
SS1020/BOOT-5-BLK,243.1,233.75
SS1020/BOOT-6-BLK,243.1,233.75
SS1020/BOOT-7-BLK,243.1,233.75
SS1020/BOOT-8-BLK,243.1,233.75
SS1020/BOOT-9-BLK,243.1,233.75
SS1020/BOOT-10-BLK,243.1,233.75
SS1020/BOOT-11-BLK,243.1,233.75
SS1020/BOOT-12-BLK,243.1,233.75
SS1020/BOOT-13-BLK,753.61,233.75
DF-UBLK-3-BLK,564.85,543.125
DF-UBLK-4-BLK,564.85,543.125
DF-UBLK-5-BLK,564.85,543.125
DF-UBLK-6-BLK,564.85,543.125
DF-UBLK-7-BLK,564.85,543.125
DF-UBLK-8-BLK,564.85,543.125
DF-UBLK-9-BLK,564.85,543.125
DF-UBLK-10-BLK,564.85,543.125
DF-UBLK-11-BLK,564.85,543.125
DF-UBLK-12-BLK,564.85,543.125
DF-UBLK-13-BLK,564.85,543.125
DF-USHOE-3-BLK,536.25,515.625
DF-USHOE-4-BLK,536.25,515.625
DF-USHOE-5-BLK,536.25,515.625
DF-USHOE-6-BLK,536.25,515.625
DF-USHOE-7-BLK,536.25,515.625
DF-USHOE-8-BLK,536.25,515.625
